"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Sousa E.L.D.; Marques L.A.D.A.; Lima I.D.S.F.D.; Neves A.B.M.; Cunha E.N.; Kreutz M.E.; Neto A.J.V.","Sousa, Ewerton L. de (58548243300); Marques, Leonardo A. de Aquino (58548808500); Lima, Israel da S. Felix de (58548808600); Neves, Ana Beatriz M. (58547966500); Cunha, Eduardo Nogueira (57189387758); Kreutz, Márcio Eduardo (8833771300); Neto, Augusto José V. (35105652600)","58548243300; 58548808500; 58548808600; 58547966500; 57189387758; 8833771300; 35105652600","Development a Low-Cost Wireless Smart Meter with Power Quality Measurement for Smart Grid Applications","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168716286&doi=10.3390%2fs23167210&partnerID=40&md5=3105fd8d1fd8196abda1273125727d9c"
"de Oliveira J.G.; Kreutz M.E.","de Oliveira, Joel Gonçalves (59255885600); Kreutz, Marcio Eduardo (8833771300)","59255885600; 8833771300","The Blind Spots of Two-Factor Authentication Tools","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200976488&doi=10.1007%2f978-3-031-65522-7_50&partnerID=40&md5=5ec0e9b0f1d31827f98c6348dd1b2344"
"Castillo J.S.; Gaete K.P.; Muñoz H.A.; Gallardo D.I.; Bourguignon M.; Venegas O.; Gómez H.W.","Castillo, Jaime S. (58099577300); Gaete, Katherine P. (58099935900); Muñoz, Héctor A. (58099577400); Gallardo, Diego I. (56736005700); Bourguignon, Marcelo (55372187300); Venegas, Osvaldo (6506769962); Gómez, Héctor W. (10639386400)","58099577300; 58099935900; 58099577400; 56736005700; 55372187300; 6506769962; 10639386400","Scale Mixture of Maxwell-Boltzmann Distribution","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147883470&doi=10.3390%2fmath11030529&partnerID=40&md5=0132d605255057ac2656706ba716d120"
"Contoli C.; Tourani R.; Neto A.; Esposito F.; McNair J.","Contoli, Chiara (56342819200); Tourani, Reza (55849143800); Neto, Augusto (59337970100); Esposito, Flavio (23008401900); McNair, Janise (35610572500)","56342819200; 55849143800; 59337970100; 23008401900; 35610572500","Message from the Chairs","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204593560&doi=10.1109%2fNetSoft60951.2024.10679785&partnerID=40&md5=c459636fd51d86e5c3f22a00f663e331"
"Almeida D.B.T.; Alencar M.S.; Duarte R.M.; Silva H.S.; Madeiro F.; Lopes W.T.A.; Queiroz W.J.L.","Almeida, Danilo B. T. (57201084931); Alencar, Marcelo S. (7004192487); Duarte, Rafael M. (56039167500); Silva, Hugerles S. (57188746395); Madeiro, Francisco (6507629972); Lopes, Waslon T. A. (6603358314); Queiroz, Wamberto J. L. (6602436642)","57201084931; 7004192487; 56039167500; 57188746395; 6507629972; 6603358314; 6602436642","On the Adaptive Modulation for User-Centric Cell-Free Massive MIMO Systems","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187011537&doi=10.1109%2fACCESS.2024.3370944&partnerID=40&md5=13dc8cfcfdef88b9ec0776eb6a8c9afd"
"Lima D.V.C.; Terrematte P.; Stransky B.; Neto A.D.D.","Lima, Debora V. C. (59001675900); Terrematte, Patrick (40462477300); Stransky, Beatriz (6506177045); Neto, Adriao D. D. (57606728000)","59001675900; 40462477300; 6506177045; 57606728000","An Integrated Data Analysis Using Bioinformatics and Random Forest to Predict Prognosis of Patients With Squamous Cell Lung Cancer","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191318112&doi=10.1109%2fACCESS.2024.3392277&partnerID=40&md5=adf76403e930c802ad82f91a2fb46b25"
"da Silva S.L.E.F.; de Araújo J.M.; de la Barra E.; Corso G.","da Silva, Sérgio Luiz E. F. (59157765300); de Araújo, João M. (57213245421); de la Barra, Erick (57221676510); Corso, Gilberto (56250847700)","59157765300; 57213245421; 57221676510; 56250847700","A Graph-Space Optimal Transport Approach Based on Kaniadakis κ-Gaussian Distribution for Inverse Problems Related to Wave Propagation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175110822&doi=10.3390%2fe25070990&partnerID=40&md5=005cc22f8259d6d358056e83f9e79ee5"
"Oliveira I.B.; Francisco Andrade A.; Da Costa E.G.; Cardoso I.S.; Silva H.D.; Leite Neto A.F.","Oliveira, Iago Batista (57884130800); Francisco Andrade, Arthur (56909500500); Da Costa, Edson Guedes (15922316900); Cardoso, Izadora Soares (58651680400); Silva, Henrique Dantas (58651674000); Leite Neto, Antonio Francisco (57884385400)","57884130800; 56909500500; 15922316900; 58651680400; 58651674000; 57884385400","An assessment of the impact of distributed generation and load unbalance on technical losses; [Uma Avaliação de Impactos da Geração Distribuída e Desbalanceamento de Carga nas Perdas Técnicas]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195620396&doi=10.1109%2fCBQEE59548.2023.10503768&partnerID=40&md5=26bf8782037f1be18f494568cb7875dd"
"Distante C.; Carcagni P.; Gonçalves da Silva A., Jr.; Gonçalves L.M.G.","Distante, Cosimo (55884135100); Carcagni, Pierluigi (23003296600); Gonçalves da Silva, Andouglas (57222350086); Gonçalves, Luiz Marcos Garcia (58069927800)","55884135100; 23003296600; 57222350086; 58069927800","EREMITE: A marinE infRastructurE to MonItor the sTate of the sEas","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204995522&partnerID=40&md5=c641a117b913ed396af6be5a91619280"
"De Sousa Silva I., Jr.; De Siqueira Campos A.L.P.; Neto A.G.; Da Silva M.W.B.","De Sousa Silva, Isaú (58869747000); De Siqueira Campos, Antônio Luiz Pereira (57778856200); Neto, Alfredo Gomes (6603647208); Da Silva, Mauricio Weber Benjó (57220059007)","58869747000; 57778856200; 6603647208; 57220059007","Integrated Dual-Band Monopole Antenna with Frequency Selective Surface for Non-Invasive Biomedical Sensor Application","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184347629&doi=10.1109%2fIMOC57131.2023.10379731&partnerID=40&md5=8b01c57c74c649c6e691101a1a04a8a4"
"Quincozes V.E.; Mansilha R.B.; Kreutz D.; Miers C.C.; Immich R.","Quincozes, Vagner Ereno (57773301200); Mansilha, Rodrigo Brandão (24477839300); Kreutz, Diego (23990847200); Miers, Charles Christian (26428861700); Immich, Roger (23990618900)","57773301200; 24477839300; 23990847200; 26428861700; 23990618900","Auth4App: Streamlining authentication for integrated cyber–physical environments","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194946994&doi=10.1016%2fj.jisa.2024.103802&partnerID=40&md5=572d97cae09710b4a05556820b269cff"
"Bernardo J.H.; Alencar Da Costa D.; De Medeiros S.Q.; Kulesza U.","Bernardo, Joao Helis (57203415840); Alencar Da Costa, Daniel (58980784400); De Medeiros, Sergio Queiroz (57207862079); Kulesza, Uira (12645089300)","57203415840; 58980784400; 57207862079; 12645089300","How do Machine Learning Projects use Continuous Integration Practices? An Empirical Study on GitHub Actions","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197384148&doi=10.1145%2f3643991.3644915&partnerID=40&md5=6c2740e85c640bb66540804162152002"
"de Brito Guerra T.C.; Nóbrega T.; Morya E.; de M. Martins A.; de Sousa V.A., Jr.","de Brito Guerra, Tarciana C. (57205585610); Nóbrega, Taline (57212504844); Morya, Edgard (6506185708); de M. Martins, Allan (56337603400); de Sousa, Vicente A. (6603844872)","57205585610; 57212504844; 6506185708; 56337603400; 6603844872","Electroencephalography Signal Analysis for Human Activities Classification: A Solution Based on Machine Learning and Motor Imagery","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159258122&doi=10.3390%2fs23094277&partnerID=40&md5=b292349d4842ada79a487656ef6374f4"
"Santos R.D.V.D., Júnior; Coelho J.V.V.; Cacho N.A.A.; de Araújo D.S.A.","Santos, Ramiro de Vasconcelos dos (57314796300); Coelho, João Vitor Venceslau (57169721900); Cacho, Nelio Alessandro Azevedo (17433450200); de Araújo, Daniel Sabino Amorim (55103744400)","57314796300; 57169721900; 17433450200; 55103744400","A criminal macrocause classification model: An enhancement for violent crime analysis considering an unbalanced dataset","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173048339&doi=10.1016%2fj.eswa.2023.121702&partnerID=40&md5=b83d51febfb073692db90c1269fc6a18"
"Olaru S.; Soyer M.; Zhao Z.; Dorea C.E.T.; Kofman E.; Girard A.","Olaru, Sorin (9279624600); Soyer, Martin (57218712025); Zhao, Zhixin (59032902300); Dorea, Carlos E. T. (7004096252); Kofman, Ernesto (7006367788); Girard, Antoine (23392762500)","9279624600; 57218712025; 59032902300; 7004096252; 7006367788; 23392762500","From Relaxed Constraint Satisfaction to <inline-formula><tex-math notation=""LaTeX"">$p-$</tex-math></inline-formula>Invariance of Sets","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192168553&doi=10.1109%2fTAC.2024.3394544&partnerID=40&md5=e68053c52d028a8cf4308cae762b7b38"
"Cunha T.A.; Lopes M.M.G.D.; de Araújo Brito A.N.; Vermeulen-Serpa K.M.; de Lima Vale S.H.; Brandão-Neto J.; Leite-Lais L.","Cunha, Thais Alves (57220079073); Lopes, Márcia Marília Gomes Dantas (56939847800); de Araújo Brito, Acsa Nara (59074482600); Vermeulen-Serpa, Karina Marques (57220079431); de Lima Vale, Sancha Helena (57742010600); Brandão-Neto, José (6701547047); Leite-Lais, Lucia (57200632192)","57220079073; 56939847800; 59074482600; 57220079431; 57742010600; 6701547047; 57200632192","Phase Angle and Bioelectrical Impedance Vector Analysis (BIVA) in Amyotrophic Lateral Sclerosis (ALS) Patients","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192449819&doi=10.3390%2fapp14041545&partnerID=40&md5=4bc8634014a1e74231ba0b6a97c85589"
"Nobre F.D.M.; Da Silva M.W.B.; De Siqueira Campos A.L.P.; Ferreira T.N.","Nobre, Francisco Diego Martins (57206782668); Da Silva, Maurício Weber Benjó (57220059007); De Siqueira Campos, Antônio Luiz Pereira (57778856200); Ferreira, Tadeu Nagashima (24778180500)","57206782668; 57220059007; 57778856200; 24778180500","Analysis and Design of an Ultra-Wideband Polarization Converter Based on Anisotropic Metasurface","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184350586&doi=10.1109%2fIMOC57131.2023.10379767&partnerID=40&md5=9c47526a73574e14575f220418bc41c0"
"Azevedo M.; Medeiros T.; Medeiros M.; Viegas C.M.D.; Silva M.; Silva I.; Costa D.G.","Azevedo, Mariana (58167671300); Medeiros, Thais (58538636900); Medeiros, Morsinaldo (58168755900); Viegas, Carlos M. D. (57205118256); Silva, Marianne (57207807053); Silva, Ivanovitch (36537969500); Costa, Daniel G. (35519411300)","58167671300; 58538636900; 58168755900; 57205118256; 57207807053; 36537969500; 35519411300","A Framework to Support Collection, Processing and Analysis of Smart Vehicles Data","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195369773&doi=10.1109%2fWF-IoT58464.2023.10539569&partnerID=40&md5=5a02d732934e0007088b18765ddf8121"
"Di Marcantonio P.; Stempels H.C.; Giro E.; Alberti V.; Amate M.; Baldini V.; Baron F.; Brynnel J.; Cabral A.; Chazelas B.; Christensen L.; Füßlein C.; Gaessler W.; Gallo E.; Huke P.; Ivanisenko Y.; Korhonen H.; Kouach D.; Leão I.C.; Lunney D.; Marconi A.; Masłowski P.; Monteiro M.A.; Neri N.; Pinna E.; Selmi C.; Sortino F.; Spiga R.; Tozzi A.; Wehbe B.; Zanutta A.; Zimara J.","Di Marcantonio, P. (6603438755); Stempels, H.C. (6602350090); Giro, E. (23059958900); Alberti, V. (55364272800); Amate, M. (55546226000); Baldini, V. (55546017000); Baron, F. (55536410500); Brynnel, J. (55993422100); Cabral, A. (14619014800); Chazelas, B. (6506939986); Christensen, L. (35513354300); Füßlein, C. (58743189100); Gaessler, W. (6701502116); Gallo, E. (7101964055); Huke, P. (6503977516); Ivanisenko, Y. (23966592100); Korhonen, H. (24829475200); Kouach, D. (6508102066); Leão, I.C. (59339652500); Lunney, D. (57196755190); Marconi, A. (7006873411); Masłowski, P. (23389484400); Monteiro, M.A. (55492892800); Neri, N. (59262457600); Pinna, E. (6602145341); Selmi, C. (6701520362); Sortino, F. (57191522972); Spiga, R. (59262457700); Tozzi, A. (9238899700); Wehbe, B. (57211522304); Zanutta, A. (37119749900); Zimara, J. (57205674764)","6603438755; 6602350090; 23059958900; 55364272800; 55546226000; 55546017000; 55536410500; 55993422100; 14619014800; 6506939986; 35513354300; 58743189100; 6701502116; 7101964055; 6503977516; 23966592100; 24829475200; 6508102066; 59339652500; 57196755190; 7006873411; 23389484400; 55492892800; 59262457600; 6602145341; 6701520362; 57191522972; 59262457700; 9238899700; 57211522304; 37119749900; 57205674764","ANDES, the high-resolution spectrograph for the ELT: project management for the preliminary design phase","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198716420&doi=10.1117%2f12.3018067&partnerID=40&md5=b2e85c09f5160b0d8072aa9facf80988"
"Carvalho A.C.M.; Machado L.D.; de Oliveira R.B.; Bezerra C.G.","Carvalho, Ana Claudia Monteiro (15721860700); Machado, Leonardo Dantas (53264311400); de Oliveira, Raphael Benjamim (58030945000); Bezerra, Claudionor Gomes (55849363800)","15721860700; 53264311400; 58030945000; 55849363800","Effects of lattice structure on the electronic properties of helically symmetric nanotubes","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172100687&doi=10.1016%2fj.commatsci.2023.112504&partnerID=40&md5=8e67a96320b4af30007c9944776e73a8"
"da Silva Santos M.; Sales Barros L.; Bezerra Costa F.; Mara Vital Barros C.; Penha Silva Junior G.; Strunz K.","da Silva Santos, Maxwel (57212027912); Sales Barros, Luciano (55493359300); Bezerra Costa, Flavio (57776358300); Mara Vital Barros, Camila (56210152600); Penha Silva Junior, Guilherme (57215135415); Strunz, Kai (6602537242)","57212027912; 55493359300; 57776358300; 56210152600; 57215135415; 6602537242","Frequency Droop-Based Synchronverter Without Battery for Primary Support of Microgrids","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133235729&doi=10.1007%2fs40313-022-00928-9&partnerID=40&md5=8acf62154f0f3f6ca980307b95bbc2d8"
"De Oliveira J.G.D.; Oliveira A.M.D.; Mesquita M.D.S.; Neto V.P.S.; D'Assunção A.G.","De Oliveira, João G. D. (57213001300); Oliveira, Amanda M. D. (58728864100); Mesquita, Marcelo D. S. (57210842815); Neto, Valdemir P. S. (55908415500); D'Assunção, Adaildo G. (7004474343)","57213001300; 58728864100; 57210842815; 55908415500; 7004474343","Development of a Textile Device Applied to Hand Gesture Recognition","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184350220&doi=10.1109%2fIMOC57131.2023.10379660&partnerID=40&md5=b383201c9439a0ee64b0c00d0b459418"
"Silva T.P.; Batista T.V.; Battisti A.L.; Saraiva A.; Rocha A.A.; Delicato F.C.; Bastos I.V.; MacEdo E.L.C.; De Oliveira A.C.B.; Pires P.F.","Silva, Thiago P. (56732537200); Batista, Thais V. (36812228000); Battisti, Anselmo L. (57219168977); Saraiva, Andre (59289844700); Rocha, Antonio A. (35488863600); Delicato, Flavia C. (55887461400); Bastos, Ian Vilar (57193614003); MacEdo, Evandro L. C. (57203173800); De Oliveira, Ana C. B. (59000582300); Pires, Paulo F. (55595376300)","56732537200; 36812228000; 57219168977; 59289844700; 35488863600; 55887461400; 57193614003; 57203173800; 59000582300; 55595376300","A MAPE-K and Queueing Theory Approach for VNF Auto-scaling in Edge Computing","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191255915&doi=10.1109%2fCloudNet59005.2023.10490065&partnerID=40&md5=b57b53dfcbfc12e9b0129013a8969b50"
"Da Silva H.T.P.; De Alencar M.S.; Lira Queiroz W.J.; Silva H.S.","Da Silva, Higo Thaian Pereira (57218291069); De Alencar, Marcelo Sampaio (57215334552); Lira Queiroz, Wamberto Jose (6602436642); Silva, Hugerles Sales (57188746395)","57218291069; 57215334552; 6602436642; 57188746395","Coverage Probability Analysis of a RIS-Assisted THz Indoor System Based on Ray Tracing Simulations","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182788449&doi=10.1109%2fLATINCOM59467.2023.10361895&partnerID=40&md5=0810522b8dca5ba562e1501e3b4c4b2f"
"Lenzi E.K.; Rosseto M.P.; Gryczak D.W.; Evangelista L.R.; da Silva L.R.; Lenzi M.K.; Zola R.S.","Lenzi, Ervin K. (7005898809); Rosseto, Michely P. (56868586000); Gryczak, Derik W. (59008702400); Evangelista, Luiz R. (7005178198); da Silva, Luciano R. (54790547100); Lenzi, Marcelo K. (7102720613); Zola, Rafael S. (14032671000)","7005898809; 56868586000; 59008702400; 7005178198; 54790547100; 7102720613; 14032671000","Generalized Kinetic Equations with Fractional Time-Derivative and Nonlinear Diffusion: H-Theorem and Entropy","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202487829&doi=10.3390%2fe26080673&partnerID=40&md5=4784b03134068199eac5aa1b57dbac6f"
"Diógenes do Rego I.; de Castro Neto J.M.; Neto S.F.G.; de Santana P.M.; de Sousa V.A., Jr.; Vieira D.; Venâncio Neto A.","Diógenes do Rego, Iago (57354214400); de Castro Neto, José M. (57205587692); Neto, Sildolfo F. G. (57216506354); de Santana, Pedro M. (57205347855); de Sousa, Vicente A. (6603844872); Vieira, Dario (14632862000); Venâncio Neto, Augusto (35105652600)","57354214400; 57205587692; 57216506354; 57205347855; 6603844872; 14632862000; 35105652600","A Multiarmed Bandit Approach for LTE-U/Wi-Fi Coexistence in a Multicell Scenario","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167757874&doi=10.3390%2fs23156718&partnerID=40&md5=0004bb65af85e2526b57813c1ab11221"
"Gallardo D.I.; Gómez Y.M.; Gómez H.J.; Gallardo-Nelson M.J.; Bourguignon M.","Gallardo, Diego I. (56736005700); Gómez, Yolanda M. (56205034500); Gómez, Héctor J. (57217198513); Gallardo-Nelson, María José (57204955283); Bourguignon, Marcelo (55372187300)","56736005700; 56205034500; 57217198513; 57204955283; 55372187300","The Slash Half-Normal Distribution Applied to a Cure Rate Model with Application to Bone Marrow Transplantation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147802893&doi=10.3390%2fmath11030518&partnerID=40&md5=2cb053a6abe8b61127d74ce7f623b8a9"
"Santo Y.; Immich R.; Dalmazo B.L.; Riker A.","Santo, Yuri (58089286900); Immich, Roger (23990618900); Dalmazo, Bruno L. (36547656800); Riker, André (54896460500)","58089286900; 23990618900; 36547656800; 54896460500","Fault Detection on the Edge and Adaptive Communication for State of Alert in Industrial Internet of Things","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152306885&doi=10.3390%2fs23073544&partnerID=40&md5=4b3a6f2e8d5ecaea747fdb2f5e4d4ae0"
"Medeiros A.; Maio A.D.; Braun T.; Neto A.","Medeiros, Alisson (57204072243); Maio, Antonio Di (57192379357); Braun, Torsten (7202108111); Neto, Augusto (35105652600)","57204072243; 57192379357; 7202108111; 35105652600","TENET: Adaptive Service Chain Orchestrator for MEC-Enabled Low-Latency 6DoF Virtual Reality","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177045884&doi=10.1109%2fTNSM.2023.3331755&partnerID=40&md5=879ac9319cc843e0252b7ec255f31182"
"Moreira M.L.D.C.M.; Oliveira T.R.; De Melo Queiroz K.I.P.","Moreira, Marcelo Luiz de Carvalho Moura (59152086800); Oliveira, Tiago Roux (22952045900); De Melo Queiroz, Kurios Iuri Pinheiro (59193721600)","59152086800; 22952045900; 59193721600","Adaptive Backstepping Control Based on Global HOSM Differentiators With Dynamic Gains","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194895849&doi=10.1109%2fACCESS.2024.3407014&partnerID=40&md5=65399f7da568c0034001fcbfdaf50ef8"
"da L. A. Silva J.; de Sousa V.A., Jr.; Rodrigues M.E.C.; Pinheiro F.S.R.; da Silva G.S.; Mendonça H.B.; de F. H. Silva R.Q.; da Silva J.V.L.; Galdino F.E.S.; de Carvalho V.F.C.; Medeiros L.I.C.","da L. A. Silva, Júlia (58292126700); de Sousa, Vicente A. (6603844872); Rodrigues, Marcio E. C. (36441595100); Pinheiro, Fred Sizenando Rossiter (55926314100); da Silva, Gutembergue Soares (55337051300); Mendonça, Halysson B. (57222580223); de F. H. Silva, Ricardo Q. (58292267100); da Silva, João V. L. (58292700900); Galdino, Fernanda E. S. (58292415300); de Carvalho, Vitor F. C. (58292984300); Medeiros, Lucas I. C. (58044948100)","58292126700; 6603844872; 36441595100; 55926314100; 55337051300; 57222580223; 58292267100; 58292700900; 58292415300; 58292984300; 58044948100","Human Exposure to Non-Ionizing Radiation from Indoor Distributed Antenna System: Shopping Mall Measurement Analysis","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160400043&doi=10.3390%2fs23104579&partnerID=40&md5=695693bbf648719ef8de4b868828e57c"
"Torres W.; Santos L.; Melo G.; Oliveira A.; Nascimento P.; Carvalho G.; Neves T.; Martins A.; Araújo Í.","Torres, Winnie (57194784138); Santos, Lilian (58853796700); Melo, Gustavo (57224359492); Oliveira, Andressa (57215527633); Nascimento, Pedro (57218285725); Carvalho, Geovane (59004786600); Neves, Tácito (55769311100); Martins, Allan (57985251100); Araújo, Ícaro (57209105086)","57194784138; 58853796700; 57224359492; 57215527633; 57218285725; 59004786600; 55769311100; 57985251100; 57209105086","A Framework for Real-Time Gestural Recognition and Augmented Reality for Industrial Applications","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191460513&doi=10.3390%2fs24082407&partnerID=40&md5=c8c61e97e2764722eedae35db848a198"
"de Maria Calado Machado Soares L.; de Almeida P.H.S.; Santos L.G.P.; Cavalcante M.S.F.F.; de Araújo Tiburtino Neves T.T.; de Lima Torres W.; de Medeiros Martins A.; de Araújo Í.B.Q.","de Maria Calado Machado Soares, Lívia (58854362000); de Almeida, Pedro Henrique Silva (58853984200); Santos, Lilian Giselly Pereira (58853796700); Cavalcante, Mário Sérgio Freitas Ferreira (58083578500); de Araújo Tiburtino Neves, Tácito Trindade (57202214646); de Lima Torres, Winnie (58854176300); de Medeiros Martins, Allan (57985251100); de Araújo, Ícaro Bezerra Queiroz (57209105086)","58854362000; 58853984200; 58853796700; 58083578500; 57202214646; 58854176300; 57985251100; 57209105086","Hands Tech: An AR-based Framework for Real-Time Monitoring and its Application in 4.0 Industry","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183603917&doi=10.1109%2fINDUSCON58041.2023.10375001&partnerID=40&md5=c4e902982e275b0c8bcfe1a9436fea82"
"Nunes M.A.; Vivacqua C.A.; de Barros T.V.S.; Siroky A.N.; da Costa E.G.","Nunes, Marcus Alexandre (59269996600); Vivacqua, Carla Almeida (8649186600); de Barros, Talita Viviane Siqueira (58826136100); Siroky, Andressa Nunes (56529426900); da Costa, Eliardo Guimarães (56452259300)","59269996600; 8649186600; 58826136100; 56529426900; 56452259300","Using Social Media and Network Services to Promote Statistical Collaboration Laboratories: A Case Study of LEA Brazil","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182805064&doi=10.1007%2f978-3-031-41352-0_1&partnerID=40&md5=219bc4f37e638759f8da0b3c6b643fa2"
"Santos C.E.B., Jr.; Silva L.M.D.D.; Torquato M.F.; Silva S.N.; Fernandes M.A.C.","Santos, Carlos E. B. (57219685682); Silva, Lucileide M. D. da (57205121703); Torquato, Matheus F. (57195314921); Silva, Sérgio N. (56402497700); Fernandes, Marcelo A. C. (7202947679)","57219685682; 57205121703; 57195314921; 56402497700; 7202947679","SHA-256 Hardware Proposal for IoT Devices in the Blockchain Context","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197116722&doi=10.3390%2fs24123908&partnerID=40&md5=ed14b1a0c113bfafd39c4d02209a6c4a"
"Flores T.K.S.; Silva I.; Azevedo M.B.; de Medeiros T.D.A.; Medeiros M.D.A.; Costa D.G.; Ferrari P.; Sisinni E.","Flores, Thommas K. S. (57211156889); Silva, Ivanovitch (36537969500); Azevedo, Mariana B. (58167671300); de Medeiros, Thais de A. (58538636900); Medeiros, Morsinaldo de A. (58168755900); Costa, Daniel G. (35519411300); Ferrari, Paolo (57195277194); Sisinni, Emiliano (24777116800)","57211156889; 36537969500; 58167671300; 58538636900; 58168755900; 35519411300; 57195277194; 24777116800","Advancing TinyMLOps: Robust Model Updates in the Internet of Intelligent Vehicles","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182945098&doi=10.1109%2fMM.2024.3354323&partnerID=40&md5=15731d604b8251080f642a281d164fc4"
"De Hierro A.F.R.L.; Roldan C.; Tiscar M.A.; Takac Z.; Santiago R.H.N.; Dimuro G.P.; Fernandez J.; Bustince H.","De Hierro, Antonio Francisco RoldanLopez (56874899500); Roldan, Concepcion (10440682500); Tiscar, Miguel Angel (57258832700); Takac, Zdenko (55546506200); Santiago, Regivan H. N. (7006674404); Dimuro, Gracaliz P. (6508226260); Fernandez, Javier (57198957963); Bustince, Humberto (55034746100)","56874899500; 10440682500; 57258832700; 55546506200; 7006674404; 6508226260; 57198957963; 55034746100","Type-(2,κ) Overlap Indices","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135242452&doi=10.1109%2fTFUZZ.2022.3188918&partnerID=40&md5=d94a2cc653318817259db63c4ef34cca"
"Correa M.A.; Ferreira A.; Souza A.L.R.; Dantas Neto J.M.; Bohn F.; Vaz F.; Kurlyandskaya G.V.","Correa, Marcio A. (55849443600); Ferreira, Armando (26767659000); Souza, Arthur L. R. (57193564521); Dantas Neto, João. M. (58102806900); Bohn, Felipe (14420660900); Vaz, Filipe (56488157400); Kurlyandskaya, Galina V. (7004350808)","55849443600; 26767659000; 57193564521; 58102806900; 14420660900; 56488157400; 7004350808","Anomalous Nernst Effect in Flexible Co-Based Amorphous Ribbons","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148019650&doi=10.3390%2fs23031420&partnerID=40&md5=cdd2251f7dcd6a360934e2453608d736"
"Santos H.M.M.; Jochem L.F.; de Matos P.R.; Casagrande C.A.; Marinho É.P.; Szeląg M.; de Nóbrega A.C.V.","Santos, Humberto Mycael Mota (58139384200); Jochem, Lidiane Fernanda (56120113300); de Matos, Paulo Ricardo (57221700973); Casagrande, Cézar Augusto (57202252251); Marinho, Érika Pinto (7003317800); Szeląg, Maciej (56556612600); de Nóbrega, Ana Cecília Vieira (57220816708)","58139384200; 56120113300; 57221700973; 57202252251; 7003317800; 56556612600; 57220816708","Porcelain Tile Polishing Residue in Concrete as an Additive or Replacement for Portland Cement","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149971192&doi=10.3390%2fapp13052824&partnerID=40&md5=b17c20ec311c631a5f7f38c9e0f60af1"
"Palaniappan K.; Hanumanthu J.R.; Singh S.; Prabha K.A.; Murthy S.B.; dos Santos T.F.; da Silva Santos C.M.","Palaniappan, Kumarappan (59349605300); Hanumanthu, Jeevan Rao (59349722200); Singh, Sanjay (56999346700); Prabha, Kolluri Aruna (59350183600); Murthy, Soppari Bhanu (57205058180); dos Santos, Thiago Felix (59312474400); da Silva Santos, Caroliny Minely (57205575255)","59349605300; 59349722200; 56999346700; 59350183600; 57205058180; 59312474400; 57205575255","Effects of Geographical Conditions on the Physiochemical Properties of Natural Fiber Extracted from the Root of Prosopis juliflora","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205338571&doi=10.14416%2fj.asep.2024.09.008&partnerID=40&md5=0c7118939bbd728f7e4876d53525d730"
